id,name,rating,userRatingCount,formattedAddress,latitude,longitude,phone,businessStatus,primaryType,takeout,delivery,dineIn,curbsidePickup,reservable,servesLunch,servesDinner,servesBeer,servesWine,liveMusic,servesCocktails,goodForChildren,acceptsCreditCards,acceptsDebitCards,acceptsCashOnly,acceptsNfc,freeParkingLot,freeStreetParking,wheelchairAccessibleEntrance,wheelchairAccessibleRestroom,wheelchairAccessibleSeating,priceStartUSD,priceEndUSD,googleMapsUri
ChIJ--c8h4jRD4gRRY6i7bZEpZU,Lady Gregory's Irish Bar & Restaurant,4.5,2822.0,"5260 N Clark St, Chicago, IL 60640, USA",41.977892,-87.66856,(773) 271-5050,OPERATIONAL,restaurant,True,True,True,,True,True,True,True,True,False,True,True,True,True,False,True,,True,True,True,True,20,30,https://maps.google.com/?cid=10783100435270110789&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ--eTTcQ2DogRo5eiOpT5-po,Obbie's Pizza,4.5,572.0,"6654 W Archer Ave, Chicago, IL 60638, USA",41.792421999999995,-87.7888416,(773) 586-2828,OPERATIONAL,pizza_restaurant,True,True,,,False,,True,False,False,False,False,,True,True,False,True,,True,,,False,10,20,https://maps.google.com/?cid=11167512641052776355&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ--FstJkxDogRHJ03M57gUqo,El Cangrejo seafood restaurant,4.5,1132.0,"4472 S Archer Ave, Chicago, IL 60632, USA",41.8121036,-87.7078152,(773) 331-2092,OPERATIONAL,seafood_restaurant,True,False,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,,,https://maps.google.com/?cid=12273118904606760220&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ--Ib70stDogRPNi5ZdJ5p6Y,Panera Bread,2.6,61.0,"1653 W Congress Pkwy, Chicago, IL 60612, USA",41.8746266,-87.66869109999999,(312) 809-0751,OPERATIONAL,cafe,True,,True,False,False,True,True,False,False,False,False,True,True,True,False,True,,,True,True,True,10,20,https://maps.google.com/?cid=12008700875963488316&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ--SRaLUyDogRrDp1lJG2siE,Whale Fish & Chicken,4.0,835.0,"3600 W Chicago Ave, Chicago, IL 60651, USA",41.8957118,-87.716522,(773) 278-5555,OPERATIONAL,seafood_restaurant,True,True,,,False,True,True,False,False,False,False,,True,True,False,True,True,True,True,,,10,20,https://maps.google.com/?cid=2428203885483342508&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ--uc9pAuDogReYnLJzq1haY,Mikey B Hot Dogs,,,"4914 S Halsted St, Chicago, IL 60609, USA",41.8046867,-87.64581319999999,,OPERATIONAL,restaurant,,,True,,,,,,,False,,,,,,,,,,,,,,https://maps.google.com/?cid=11999196043578935673&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ--uwQ1fPD4gRgDJYhyrSENs,Chick-fil-A,4.2,339.0,"3720 W Touhy Ave, Skokie, IL 60076, USA",42.0121696,-87.7221644,(224) 357-1106,OPERATIONAL,fast_food_restaurant,True,True,True,True,,True,True,False,False,,,True,True,True,False,True,True,True,True,True,,,,https://maps.google.com/?cid=15785347774034752128&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-0ApYbstDogRGXwcjyITtwI,Farmer's Fridge,,,"Located in the Vendateria, 1300 W Jackson Blvd, Chicago, IL 60607, USA",41.8785157,-87.6605665,(312) 229-0099,OPERATIONAL,restaurant,True,,True,,,True,True,,,False,,,True,True,False,True,,,True,,,,,https://maps.google.com/?cid=195646147964730393&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-0CO_hPSD4gReL500g9ykXI,The Northman Beer & Cider Garden on the Riverwalk,4.7,1337.0,"233 East Riverwalk, Chicago, IL 60601, USA",41.888306199999995,-87.62137969999999,(312) 877-5212,OPERATIONAL,bar,True,True,True,False,False,,,True,True,True,True,,,True,False,True,,,True,True,True,10,20,https://maps.google.com/?cid=8255505004227772024&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-0L3BegvDogRrtvLYG1UV4A,Food On The Run Express,3.6,38.0,"130 E 51st St, Chicago, IL 60615, USA",41.8021721,-87.6212402,(773) 966-6825,OPERATIONAL,american_restaurant,True,True,False,False,,True,True,,,,,,True,True,False,,,,,,,20,30,https://maps.google.com/?cid=9247953188580744110&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-0m4YOvRD4gRfJRnsD4pSD0,Dunkin',4.2,175.0,"1954 W Peterson Ave, Chicago, IL 60660, USA",41.991031299999996,-87.6792004,(773) 274-3939,OPERATIONAL,coffee_shop,True,True,True,True,False,True,True,False,False,False,False,True,True,True,False,True,True,,True,,True,1,10,https://maps.google.com/?cid=4415824783861060732&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-0QKQWzJD4gRe1U3ezWmfQs,7-Eleven,2.9,32.0,"6200 N Sayre Ave, Chicago, IL 60631, USA",41.9946901,-87.80249859999999,(773) 775-2063,OPERATIONAL,convenience_store,,True,,False,,,,,,,,,True,True,False,True,,,True,,,,,https://maps.google.com/?cid=828000655136740731&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-16AayXLD4gR3TCeS4jOjkQ,The Great American Bagel,4.4,253.0,"7230 W North Ave, Elmwood Park, IL 60707, USA",41.9097465,-87.8073767,(708) 453-4646,OPERATIONAL,bagel_shop,True,True,True,True,,True,,,,,,,True,True,False,True,True,True,True,True,,10,20,https://maps.google.com/?cid=4940112926051545309&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-16AayXLD4gRltL4YYogHdU,Old World Pizza of Elmwood Park,4.4,312.0,"7230 W North Ave, Elmwood Park, IL 60707, USA",41.909936699999996,-87.8074041,(708) 456-3000,OPERATIONAL,pizza_restaurant,True,True,True,True,False,True,True,,,False,,True,True,True,False,True,True,,True,,True,10,20,https://maps.google.com/?cid=15356466083124531862&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-16AayXLD4gRMyz9lhvCq_k,Subway,3.3,54.0,"7230 W North Ave, Elmwood Park, IL 60707, USA",41.9098836,-87.8074738,(708) 456-7827,OPERATIONAL,sandwich_shop,True,True,True,True,False,True,True,False,False,False,False,True,True,True,False,True,,,True,True,,10,20,https://maps.google.com/?cid=17990686560214658099&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-1a4r3rLD4gRUWh3ydkpl_o,Dunkin',4.2,450.0,"2640 N Narragansett Ave, Chicago, IL 60639, USA",41.9289237,-87.7872295,(773) 622-7591,OPERATIONAL,coffee_shop,True,True,True,True,False,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,1,10,https://maps.google.com/?cid=18056947246329981009&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-1fvBFrMD4gRtz-L-aTBtIU,Poncitlan #5,4.4,683.0,"3400 N Cicero Ave, Chicago, IL 60641, USA",41.942644699999995,-87.7471972,(773) 685-7409,OPERATIONAL,mexican_restaurant,True,True,True,,True,True,True,False,False,False,False,True,True,True,False,True,,True,True,,,10,20,https://maps.google.com/?cid=9634538417157783479&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-1gzsMLMD4gR4Dcoo7MWL2E,Cafeteria Marianao,4.3,563.0,"1953 N La Crosse Ave, Chicago, IL 60639, USA",41.9166963,-87.7471618,,OPERATIONAL,restaurant,True,,True,,,True,,,,False,,True,True,True,False,,,True,True,,,10,20,https://maps.google.com/?cid=7002840906376689632&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-1H7tKMzDogRz9hOKblzA_M,United Grill,4.3,760.0,"2145 S Laramie Ave, Cicero, IL 60804, USA",41.851388899999996,-87.75388889999999,(708) 222-0637,OPERATIONAL,restaurant,True,False,True,,False,True,True,False,False,False,False,True,True,True,False,True,,True,,,True,10,20,https://maps.google.com/?cid=17510967015245797583&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-1kCWrMtDogRHbXBtQ0c8qI,Los chonchis,4.0,2.0,"2838 W Roosevelt Rd, Chicago, IL 60612, USA",41.866642,-87.6974948,(708) 506-7581,OPERATIONAL,meal_takeaway,True,True,,,,,True,,,False,,,,,,,,,,,,,,https://maps.google.com/?cid=11741478023717827869&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-1KJgWrSD4gRlhNCs5-WMz4,El Llano Restaurant,4.6,223.0,"3941 N Lincoln Ave, Chicago, IL 60613, USA",41.953502799999995,-87.6780357,(773) 868-1898,OPERATIONAL,restaurant,True,True,True,,True,True,True,False,False,False,False,True,True,True,False,,,,True,True,True,10,20,https://maps.google.com/?cid=4482091666815194006&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-1nMSurRD4gRkKnlQNGLIrw,Little Madrid Tapas-Café,4.6,533.0,"5661 N Clark St, Chicago, IL 60660, USA",41.985099,-87.66893309999999,(312) 973-0462,OPERATIONAL,bar,True,True,True,,True,True,True,True,True,,True,True,True,True,False,True,,True,True,True,True,50,100,https://maps.google.com/?cid=13556551559191832976&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-1OEIf_LD4gRDYFUeNKgUOk,7-Eleven,3.0,48.0,"6000 W Higgins Ave, Chicago, IL 60630, USA",41.9737292,-87.77854339999999,(773) 775-1671,OPERATIONAL,convenience_store,,True,,False,,,,,,,,,True,True,False,True,,,True,,,,,https://maps.google.com/?cid=16812114234796441869&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-1PsuKLTD4gRQZjbgLwYB04,Nice Flautas,5.0,9.0,"4131 N Rockwell St, Chicago, IL 60618, USA",41.9567927,-87.69299559999999,(312) 934-4808,OPERATIONAL,mexican_restaurant,True,True,,True,,True,True,,,False,,True,,,,,,,,,,10,20,https://maps.google.com/?cid=5622489857690146881&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-1sW6nItDogRxDXFMjCqWXI,Taureaux Tavern,4.5,460.0,"155 W Van Buren St, Chicago, IL 60605, USA",41.876652799999995,-87.6329301,(312) 624-8778,OPERATIONAL,restaurant,True,True,True,,True,True,True,True,True,False,True,False,True,True,False,True,False,,True,True,True,30,50,https://maps.google.com/?cid=8239804117237970372&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ-1TsGJAmDogRf6vyi-pS5O0,McDonald's,3.3,2109.0,"600 E 115th St, Chicago, IL 60628, USA",41.6856868,-87.60766799999999,(773) 995-8586,OPERATIONAL,fast_food_restaurant,True,True,True,True,,True,True,,,,,,,True,False,True,True,True,True,,,1,10,https://maps.google.com/?cid=17141917249002711935&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
